# id	left	top	right	bottom	texture_id
[SPRITES]
#-----------------BRICK-------------------
1710	14220	100
11710	14120	100

#WALK PICK UP SHELL
1720	14220	100	14221	100
11720	14120	100	14121	100

#JUMP PICK UP SHELL
1730	14222	100
11730	14122	100

#FRONT PICK UP SHELL
1740	14223	100

#----------------PIRANHA------------------------
630	60120	100	60121	100

#----------------FIREBALL-------------------------
110	11001	100	11002	100	11003	100	11004	100
